Party_ID	Ans_1	Ans_2	Ans_3	Ans_4	Ans_5	Ans_6	Ans_7	Ans_8	Ans_9	Ans_10	Ans_11	Ans_12	Ans_13	Ans_14	Ans_15	Ans_16	Ans_17	Ans_18	Ans_19	Ans_20	Ans_21	Ans_22	Ans_23	Ans_24	Ans_25	Ans_26	Ans_27	Ans_28	Ans_29	Ans_30	X	Y	Z
PD	5	4	5	2	2	5	2	4	2	4	2	2	4	4	3	4	4	3	4	2	4	1	4	1	2	5	2	4	2	5	-0.1	-0.5	0.8
FI	3	6	4	2	2	2	2	2	1	1	4	2	1	3	4	4	1	4	1	4	2	3	4	3	5	2	4	4	1	1	0.8	0.5714285714	0.125
LegaNord	1	2	1	4	5	1	4	2	2	2	4	2	4	4	4	2	1	4	1	2	4	5	4	3	4	1	5	5	2	3	0.3	0.5	-0.8
NCD.UDC	5	4	4	2	4	4	6	2	2	2	4	2	2	4	4	4	1	4	2	4	2	2	5	5	5	2	4	4	1	4	0.5	0.7142857143	0.6
M5S	2	6	2	3	2	1	5	5	2	4	3	3	4	5	1	2	2	1	2	5	4	3	2	1	2	6	3	5	4	5	-0.3	-0.3333333333	-0.5
FDI	2	6	3	4	2	1	4	1	3	1	2	1	2	4	3	2	1	6	1	2	1	3	5	4	5	2	5	3	6	3	0.7	0.8571428571	-0.5
Lista.Tsipras	5	6	5	1	1	3	3	4	5	5	1	5	5	5	1	2	4	1	5	2	5	2	1	1	1	5	1	2	5	5	-0.9	-1	0.75
ScelteEur	5	4	5	1	3	5	2	1	1	2	3	1	1	1	4	5	4	4	4	4	3	1	3	2	6	4	4	5	1	4	0.9	-0.1666666667	0.9
