,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
28391,3.0,2.0,0.0,4.0,4.0,1.0,4.0,2.0,3.0,0.0,3.0,3.0,3.0,0.0,2.0,4.0,4.0,0.0,4.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,4.0,0.0
28402,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,0.0,3.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
28406,0.0,3.0,0.0,2.0,4.0,1.0,3.0,1.0,4.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0
28432,0.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,4.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,0.0,3.0,3.0,1.0,4.0,3.0,4.0,0.0,3.0,0.0
28435,0.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0
28457,0.0,0.0,0.0,3.0,3.0,0.0,4.0,3.0,4.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,0.0
28458,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,3.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0
28460,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,4.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,0.0
28462,0.0,0.0,3.0,4.0,3.0,0.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0
28475,0.0,0.0,0.0,4.0,4.0,1.0,4.0,2.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0
28477,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,4.0,0.0,3.0,4.0,4.0,2.0,0.0,0.0,2.0,4.0,0.0
28481,0.0,0.0,0.0,4.0,1.0,0.0,4.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0
28483,0.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0
28484,0.0,0.0,1.0,4.0,3.0,0.0,4.0,3.0,4.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0
28489,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,4.0,0.0
28490,0.0,1.0,0.0,4.0,3.0,1.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,4.0,4.0,4.0,2.0,2.0,3.0,0.0,4.0,0.0
28491,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,3.0,4.0,0.0,4.0,0.0
28493,0.0,2.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0
28494,0.0,0.0,2.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,4.0,0.0
28496,0.0,1.0,0.0,4.0,3.0,0.0,4.0,3.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,2.0,2.0,0.0,4.0,0.0
28498,0.0,0.0,0.0,4.0,4.0,0.0,4.0,2.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,0.0
28500,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,3.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0
28505,0.0,0.0,0.0,4.0,4.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0
28506,0.0,0.0,1.0,4.0,4.0,0.0,4.0,3.0,4.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,4.0,1.0
28507,0.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,2.0,4.0,0.0,3.0,3.0,3.0,4.0,0.0,1.0,0.0,4.0,0.0
28508,0.0,0.0,1.0,4.0,4.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,5.0,1.0,2.0,1.0,1.0
28512,0.0,0.0,0.0,4.0,4.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0
28517,0.0,0.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,5.0,4.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,5.0,3.0,3.0,0.0
28518,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,0.0,3.0,4.0,3.0,0.0,3.0,3.0,4.0,0.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0
28519,0.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0,0.0
28541,0.0,2.0,0.0,4.0,4.0,1.0,0.0,5.0,3.0,1.0,0.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,4.0,0.0,4.0,0.0
28543,0.0,3.0,1.0,3.0,2.0,1.0,0.0,4.0,4.0,0.0,5.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0
28544,0.0,4.0,1.0,2.0,3.0,0.0,0.0,2.0,4.0,0.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,4.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,0.0
