,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
12091,3.0,3.0,4.0,1.0,1.0,4.0,3.0,0.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,0.0,1.0,2.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0
12092,3.0,4.0,4.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,3.0,0.0,3.0,4.0,1.0,2.0,1.0,4.0,4.0,3.0,0.0,0.0,2.0,4.0,3.0,0.0,3.0,1.0,0.0,3.0
12104,3.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,3.0,4.0,4.0,0.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,1.0,4.0,4.0
12106,4.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,0.0,3.0,4.0,1.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,3.0,4.0,2.0
12107,4.0,4.0,4.0,0.0,1.0,4.0,0.0,0.0,3.0,2.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,2.0,0.0,2.0
12108,4.0,4.0,4.0,3.0,0.0,3.0,1.0,1.0,3.0,3.0,4.0,0.0,3.0,4.0,5.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0,3.0,3.0
12109,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0
12110,4.0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,5.0,3.0
12111,2.0,4.0,3.0,1.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,0.0,4.0,4.0,5.0,3.0,1.0,5.0,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
12113,4.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,3.0,3.0,3.0,0.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0
12114,4.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,4.0
12115,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,4.0,0.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
12116,4.0,3.0,4.0,3.0,0.0,3.0,4.0,1.0,1.0,3.0,3.0,0.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,4.0
12119,4.0,3.0,3.0,2.0,1.0,4.0,4.0,0.0,4.0,3.0,4.0,0.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,0.0,0.0,3.0
12121,3.0,3.0,4.0,5.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0
12127,1.0,4.0,4.0,4.0,0.0,5.0,4.0,1.0,4.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,4.0,4.0,0.0,4.0
12128,4.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,3.0,1.0,3.0,2.0
12130,4.0,4.0,3.0,0.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,1.0,1.0,3.0
12131,4.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,3.0,1.0,1.0,4.0
12132,3.0,5.0,3.0,0.0,0.0,3.0,3.0,1.0,5.0,1.0,3.0,0.0,3.0,3.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0
12138,4.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0
12141,4.0,4.0,4.0,3.0,0.0,4.0,4.0,0.0,3.0,4.0,3.0,0.0,4.0,4.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,4.0,0.0,2.0,4.0
12143,4.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0
12144,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
12150,4.0,4.0,4.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,4.0,3.0
12153,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,3.0,0.0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,0.0,0.0,1.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0
12163,4.0,1.0,3.0,0.0,2.0,4.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,0.0,4.0,2.0
