Partidos_ID;Ans_1;Ans_2;Ans_3;Ans_4;Ans_5;Ans_6;Ans_7;Ans_8;Ans_9;Ans_10;Ans_11;Ans_12;Ans_13;Ans_14;Ans_15;Ans_16;Ans_17;Ans_18;Ans_19;Ans_20;Ans_21;Ans_22;Ans_23;Ans_24;Ans_25;Ans_26;Ans_27;Ans_28;Ans_29;Ans_30;X;Y;Z;Country;country
Alianca;5;4;5;2;2;5;2;5;2;1;2;2;1;2;2;5;2;4;2;4;4;2;3;4;3;4;4;4;5;4;0.5;0.25;0.8;Portugal;Portugal
CDU;2;2;5;5;1;1;4;1;5;5;5;1;5;5;5;2;5;1;4;1;1;5;2;5;3;2;1;5;2;1;-1;-0.333333333;-0.8;Portugal;Portugal
BE;4;2;5;4;1;1;5;2;5;4;5;1;5;5;5;1;5;1;5;1;1;4;2;5;2;1;1;1;4;2;-0.909090909;-0.666666667;-0.4;Portugal;Portugal
PS;5;4;5;2;2;5;3;5;4;2;4;2;2;4;2;99;4;2;4;2;1;4;2;4;3;1;1;3;5;1;-0.318181818;-0.416666667;0.8;Portugal;Portugal
Livre;5;4;5;3;1;2;5;4;5;99;4;1;5;5;4;2;5;1;5;2;1;4;4;5;99;1;1;99;4;1;-0.9;-0.8;0.3;Portugal;Portugal
MPT;4;99;4;5;2;2;4;5;5;99;5;2;4;3;5;99;4;2;3;99;1;2;4;4;1;3;5;5;99;1;-0.7;0.25;0;Portugal;Portugal
PCTP;1;2;5;5;1;1;5;1;5;5;5;1;5;5;5;1;5;1;4;1;1;3;2;5;3;2;1;1;99;1;-1;-0.5;-0.9;Portugal;Portugal
PAN;4;3;4;4;2;2;99;4;4;5;4;2;4;4;2;99;4;4;5;1;1;4;99;5;99;1;99;99;99;1;-0.454545455;-0.833333333;0;Portugal;Portugal
PSD;5;6;4;2;2;5;2;2;4;3;3;4;2;4;4;2;2;2;1;3;3;2;2;5;1;4;2;5;4;2;-0.333333333;0.6;0.5;Romania;Romania
PNL;5;6;4;2;2;4;2;2;4;2;2;1;4;2;3;2;4;5;2;6;4;3;2;5;1;4;2;5;4;2;0.583333333;0.75;0.416666667;Romania;Romania
PDL;5;4;4;2;1;5;2;2;1;2;1;2;3;1;2;1;2;5;5;2;2;4;3;5;4;4;4;5;4;4;0.583333333;0.7;0.75;Romania;Romania
PMP;5;4;4;2;1;5;2;2;2;2;2;1;3;2;3;2;3;4;5;3;3;6;3;3;6;6;3;5;3;4;0.416666667;0.25;0.666666667;Romania;Romania
UDMR;4;4;4;2;2;5;6;2;2;3;3;3;2;2;3;2;4;4;1;4;4;4;2;2;3;4;4;1;1;1;0;-0.5;0.583333333;Romania;Romania
PPDD;3;2;4;4;1;4;4;6;3;4;4;5;1;4;4;5;4;1;5;1;4;4;4;5;4;4;1;5;5;2;-0.75;0.9;0.1;Romania;Romania
Labour;3;3;4;2;2;4;3;2;1;4;4;4;2;2;4;2;3;5;3;4;3;4;2;2;2;5;5;2;5;2;-0.375;0.2;0.428571429;Scotland;Scotland
SNP;3;2;4;4;4;5;4;99;2;4;4;4;3;4;5;2;4;3;4;4;4;4;2;2;2;4;5;2;1;1;-0.4375;0.55;0.071428571;Scotland;Scotland
Conservatives;1;1;2;5;4;3;5;2;3;2;2;1;4;1;2;2;4;2;2;2;3;2;4;2;3;5;5;3;5;2;0.625;-0.15;-0.571428571;Scotland;Scotland
LibDems;4;3;4;2;2;5;4;2;1;3;4;4;2;3;4;2;4;4;2;3;4;4;2;1;2;3;5;2;5;2;-0.25;0.35;0.571428571;Scotland;Scotland
UKIP;1;2;1;5;5;1;5;4;5;2;2;2;4;2;2;4;3;1;1;1;99;99;5;4;99;3;2;4;5;4;0.625;-0.625;-0.928571429;Scotland;Scotland
Greens;1;2;5;4;1;4;5;1;2;5;5;4;2;4;5;4;2;5;5;4;4;4;2;1;1;1;5;2;2;1;-0.8125;0.7;0.142857143;Scotland;Scotland
KDH;5;2;4;4;2;4;4;99;3;5;2;2;3;4;4;3;1;3;2;4;1;2;99;3;2;5;5;5;4;4;-0.3;0.6;0.25;Slovakia;Slovakia
LSNS;1;1;2;5;2;1;3;5;5;4;5;5;4;2;4;3;2;4;4;99;99;1;3;4;4;5;4;5;1;1;-0.25;0.9;-0.9375;Slovakia;Slovakia
MostHid;5;3;4;2;2;5;2;3;2;4;2;3;2;2;2;4;2;2;2;4;3;4;4;2;1;2;3;4;4;4;0.3;-0.2;0.5;Slovakia;Slovakia
NOVA;4;2;4;4;2;5;5;4;2;5;4;3;2;2;2;99;2;3;2;4;4;2;2;3;2;3;3;3;2;3;0.2;0.2;0.125;Slovakia;Slovakia
OLANO;4;2;4;4;2;4;4;99;99;5;4;4;99;1;99;3;1;2;99;4;3;3;4;4;99;2;3;4;4;4;0.333333333;-0.1;-0.071428571;Slovakia;Slovakia
SaS;4;1;4;4;4;3;4;4;4;5;5;4;2;2;1;4;1;2;2;2;4;3;4;99;2;1;1;1;4;2;0.6;-0.7;-0.3125;Slovakia;Slovakia
SDKU_DS;5;3;4;2;2;5;2;4;2;5;3;3;1;2;1;4;2;2;2;3;4;99;4;2;2;3;2;4;99;4;0.6;0;0.4375;Slovakia;Slovakia
SMER_SD;5;3;4;4;1;5;2;2;4;2;1;3;5;2;5;1;3;5;2;5;4;2;2;2;2;4;2;4;2;2;-0.7;0.3;0.3125;Slovakia;Slovakia
SMK;5;3;4;2;2;5;4;99;2;4;2;99;4;2;2;2;2;3;99;4;4;4;2;99;99;3;4;4;4;4;0;0;0.571428571;Slovakia;Slovakia
SNS;3;1;2;5;2;3;4;4;4;4;5;2;4;1;4;2;2;4;4;4;2;1;4;2;2;5;2;5;1;1;-0.2;0.7;-0.4375;Slovakia;Slovakia
SDS;5;4;2;2;2;5;2;2;2;2;2;3;1;2;2;4;1;1;2;4;2;2;5;4;4;3;2;1;1;5;0.625;0.666666667;0.5;Slovenia;Slovenia
SD;4;99;2;3;1;4;2;4;5;4;5;1;5;4;4;1;5;5;4;2;2;2;2;1;4;4;4;5;4;1;-0.875;-0.5;0.125;Slovenia;Slovenia
PS;4;99;2;4;2;4;2;4;4;3;4;2;4;3;4;2;4;4;4;2;2;2;2;1;4;5;2;5;4;2;-0.375;-0.333333333;0;Slovenia;Slovenia
DeSUS;4;99;2;3;2;4;2;4;5;2;4;2;3;3;4;2;4;3;4;2;2;2;2;1;4;4;4;4;3;3;-0.25;-0.166666667;0.125;Slovenia;Slovenia
NSi;5;3;1;3;2;5;2;2;2;1;1;3;1;2;3;4;1;1;1;2;3;2;5;5;4;2;2;1;1;5;0.75;0.833333333;0.2;Slovenia;Slovenia
SLS;4;99;2;3;2;4;2;2;2;2;2;3;2;2;4;3;2;2;2;2;4;2;5;4;4;2;3;3;2;5;0.4375;0.666666667;0.125;Slovenia;Slovenia
DS;5;99;2;99;2;4;2;99;2;2;1;4;1;2;4;4;2;1;4;2;2;2;2;2;4;4;3;4;4;3;0.6875;0;0.333333333;Slovenia;Slovenia
PP;5;99;4;1;2;5;2;99;1;1;2;4;1;1;1;5;2;1;1;4;5;5;5;3;5;5;4;5;5;1;0.833333333;0.65;1;Spain;Spain
PSOE;5;4;4;2;2;5;4;5;4;4;4;2;4;4;4;3;3;4;4;99;1;1;3;4;4;2;4;2;4;3;-0.5;-0.45;0.75;Spain;Spain
IU;4;99;5;99;1;2;5;1;5;5;5;1;5;5;5;2;5;5;5;99;1;1;2;5;5;1;4;4;2;5;-1;-0.95;0;Spain;Spain
UpyD;5;5;5;1;2;4;2;2;4;4;3;2;3;3;2;4;2;4;4;99;3;3;4;3;1;3;1;3;5;4;-0.25;0.05;0.875;Spain;Spain
PNV_CiU;5;99;5;2;5;5;99;2;2;2;2;4;1;1;99;4;2;99;2;4;4;3;2;2;5;5;5;99;1;3;0.666666667;0.166666667;0.833333333;Spain;Spain
ERC;4;99;5;1;2;5;5;2;5;5;5;1;5;4;4;2;5;4;5;2;1;1;1;5;5;1;5;1;1;5;-0.916666667;-0.95;0.833333333;Spain;Spain
BNG_Bildu;99;99;5;99;1;99;5;5;5;5;5;1;5;5;5;2;5;5;5;99;1;1;1;99;5;1;5;3;1;5;-1;-1;;Spain;Spain
Podemos;3;2;5;4;1;4;5;1;5;5;5;1;5;5;5;2;5;5;5;99;1;1;1;5;5;1;5;1;2;5;-1;-1;-0.125;Spain;Spain
Equo;5;4;5;1;2;5;5;1;4;4;5;1;4;4;5;1;5;5;5;2;1;1;1;5;99;1;4;1;2;5;-0.666666667;-1;0.875;Spain;Spain
VOX;99;99;2;99;5;4;99;4;1;1;1;5;1;1;4;4;1;99;1;99;5;5;5;1;1;5;1;2;5;1;1;1;;Spain;Spain
Socialdemok;3;4;4;2;2;5;1;4;4;4;4;5;5;2;5;4;4;3;1;2;5;3;4;1;1;1;5;4;1;2;-0.75;0.9;0.571428571;Sweden;Sweden
Moder;3;2;5;2;3;5;6;3;4;4;2;3;3;4;4;3;6;1;5;3;3;2;4;3;2;1;5;5;2;5;0.1875;0.5;0.416666667;Sweden;Sweden
Miljo;1;2;5;4;2;3;5;1;2;5;2;5;4;2;4;3;3;6;1;1;4;4;4;1;1;1;5;1;1;1;-0.5;0.8;-0.357142857;Sweden;Sweden
Folk;5;3;5;1;1;5;1;2;4;2;1;1;2;2;4;2;3;4;2;4;2;3;6;3;1;1;5;3;1;4;0.25;0.625;0.785714286;Sweden;Sweden
Center;1;4;5;2;3;5;4;4;2;4;1;2;1;4;2;2;1;4;5;3;4;3;4;3;1;1;5;2;1;5;0.625;0.8;0.142857143;Sweden;Sweden
Sverigedemok;1;1;1;5;5;2;4;4;5;1;2;3;4;2;4;3;4;2;2;3;1;2;4;4;4;2;5;4;5;5;-0.1875;-0.3;-0.571428571;Sweden;Sweden
Vanster;1;1;4;5;2;1;4;2;1;5;5;5;5;1;5;5;5;1;1;2;4;4;5;2;1;1;1;1;1;2;-0.9375;0.9;-0.714285714;Sweden;Sweden
Kristdemok;2;4;4;2;2;5;4;2;3;2;1;3;3;2;3;2;3;4;4;2;4;2;4;2;4;2;5;4;3;5;0.125;0.2;0.214285714;Sweden;Sweden
Pirat;1;4;5;4;2;2;5;6;2;4;2;4;2;6;4;6;6;5;6;6;5;5;4;2;1;2;3;1;1;5;0;0.8;-0.285714286;Sweden;Sweden
Feminist;3;4;3;3;1;4;5;2;2;5;5;4;5;2;5;4;6;6;1;2;4;5;5;1;1;1;5;2;1;1;-0.75;0.9;-0.071428571;Sweden;Sweden
Conservatives;1;1;2;5;4;3;5;2;3;2;2;1;4;1;2;2;4;2;2;2;3;2;4;2;3;5;5;3;5;2;0.625;-0.0625;-0.571428571;Wales;Wales
Labour;3;3;4;2;2;4;3;2;1;4;4;4;2;2;4;2;3;5;3;4;3;4;2;2;2;5;5;2;5;2;-0.375;0.375;0.428571429;Wales;Wales
LibDems;4;3;4;2;2;5;4;2;1;3;4;4;2;3;4;2;4;4;2;3;4;4;2;1;2;3;5;2;4;1;-0.25;0.5625;0.571428571;Wales;Wales
Plaid;3;3;4;2;1;5;3;3;1;4;5;4;1;4;4;2;3;4;5;4;4;4;2;1;2;4;5;2;2;1;-0.6875;0.5625;0.571428571;Wales;Wales
UKIP;1;2;1;5;5;1;5;4;5;2;2;2;4;2;2;4;3;1;1;1;99;99;5;4;99;3;2;4;4;3;0.625;-0.5;-0.928571429;Wales;Wales
Greens;1;2;5;4;1;4;5;1;2;5;5;4;2;4;5;4;2;5;5;4;4;4;2;1;1;1;5;2;3;1;-0.8125;0.8125;0.142857143;Wales;Wales
