Partidos_ID;Ans_1;Ans_2;Ans_3;Ans_4;Ans_5;Ans_6;Ans_7;Ans_8;Ans_9;Ans_10;Ans_11;Ans_12;Ans_13;Ans_14;Ans_15;Ans_16;Ans_17;Ans_18;Ans_19;Ans_20;Ans_21;Ans_22;Ans_23;Ans_24;Ans_25;Ans_26;Ans_27;Ans_28;Ans_29;Ans_30;X;Y;Z;Country;country
CSSD;5;2;4;2;2;5;2;99;2;5;4;4;4;2;4;4;2;1;5;2;2;4;2;3;2;4;4;4;1;3;-0.642857143;-0.125;0.5625;Czech Republic;Czech Republic
ANO;3;99;4;2;2;5;99;4;4;4;4;2;2;3;2;99;4;3;5;2;4;4;99;3;2;4;99;4;4;3;-0.083333333;0;0.25;Czech Republic;Czech Republic
KSCM;4;2;4;4;2;4;4;99;4;2;5;3;4;1;4;4;4;1;5;3;3;4;2;4;1;4;4;4;1;5;-0.714285714;-0.125;0;Czech Republic;Czech Republic
TOP09;5;2;4;2;3;5;2;2;2;4;2;2;2;4;2;2;4;4;2;2;4;4;2;4;2;4;4;3;5;1;0.5;0.125;0.444444444;Czech Republic;Czech Republic
ODS;2;2;4;4;4;4;3;4;2;1;2;2;2;5;2;2;4;5;4;2;4;4;2;4;2;4;2;3;5;2;0.5;0.375;-0.222222222;Czech Republic;Czech Republic
Usvit;4;2;4;5;4;4;4;4;4;2;4;99;3;2;2;99;4;1;5;1;4;4;4;4;99;1;2;2;3;2;-0.6;0.625;-0.222222222;Czech Republic;Czech Republic
KDU_CSL;4;2;4;2;2;5;2;2;3;4;4;4;4;2;2;4;99;4;4;2;3;4;2;5;5;4;2;3;5;1;-0.357142857;0.5;0.388888889;Czech Republic;Czech Republic
SZ;4;2;4;1;2;5;4;2;1;5;4;99;4;2;4;99;3;4;5;4;4;4;2;1;1;4;4;4;4;3;-0.4;-0.625;0.611111111;Czech Republic;Czech Republic
SP;4;2;5;4;4;4;5;4;3;2;4;2;2;2;2;3;4;2;5;3;5;5;99;1;2;1;99;4;4;2;-0.214285714;-0.5;-0.055555556;Czech Republic;Czech Republic
Svobodni;1;1;5;5;5;2;5;5;5;1;1;1;1;5;1;1;5;1;2;2;5;5;1;4;1;2;3;3;3;1;0.642857143;0.25;-0.722222222;Czech Republic;Czech Republic
Socialdemok;4;4;3;2;2;5;3;4;3;2;1;1;2;4;4;4;1;5;3;3;5;2;2;2;4;2;1;1;4;4;-0.642857143;-0.2;0.318181818;Denmark;Denmark
RadikaleVenstre;5;99;5;1;2;5;3;5;1;4;1;1;1;3;3;4;2;2;2;99;99;3;4;4;4;1;1;1;4;5;0;-0.7;0.7;Denmark;Denmark
Konservative;3;3;5;4;3;4;3;3;4;3;1;2;3;2;2;2;3;1;2;99;2;4;1;3;99;4;3;2;5;3;0.5;0.25;0.136363636;Denmark;Denmark
Socialistisk;2;4;3;2;2;4;4;4;3;3;1;1;2;5;5;5;1;5;4;99;4;3;4;4;4;2;1;1;3;4;-0.857142857;-0.6;0.227272727;Denmark;Denmark
LiberalAlliance;2;99;3;4;4;4;4;2;4;3;1;4;4;1;1;1;4;1;1;99;2;4;4;4;5;2;1;1;2;5;0.857142857;-0.8;-0.05;Denmark;Denmark
Folkeparti;1;1;1;5;5;2;5;1;4;1;5;2;5;4;4;3;2;4;2;2;4;4;1;2;4;3;5;2;5;2;-0.285714286;0.5;-0.727272727;Denmark;Denmark
Venstre;5;99;4;1;4;5;99;4;4;3;1;2;4;1;3;1;2;2;2;3;2;5;2;5;4;2;2;1;5;4;0.428571429;-0.4;0.25;Denmark;Denmark
FolkeModEU;1;1;2;5;2;1;5;1;4;2;5;1;2;4;4;4;99;5;99;5;4;4;99;4;99;99;2;1;99;99;-0.6;;-0.409090909;Denmark;Denmark
Conservatives;1;1;2;5;4;3;5;2;3;2;2;2;1;4;1;2;2;4;2;2;2;3;2;4;2;3;5;5;3;2;0.666666667;0;-0.5625;England;England
Labour;3;3;4;2;2;4;3;2;1;4;4;4;4;2;2;4;2;3;5;3;4;3;4;2;2;2;5;5;2;4;-0.416666667;-0.583333333;0.4375;England;England
LibDems;4;3;4;2;2;5;4;2;1;4;3;4;4;2;3;4;2;4;4;2;3;4;4;2;1;2;3;5;2;4;-0.416666667;-0.583333333;0.5625;England;England
Greens;1;2;5;4;1;4;5;1;2;2;5;5;4;2;4;5;4;2;5;5;4;4;4;2;1;1;1;5;2;5;-0.75;-0.75;0.0625;England;England
UKIP;1;2;1;5;5;1;5;4;5;1;2;2;2;4;2;2;4;3;1;1;1;99;99;5;4;99;3;2;4;1;0.583333333;0.75;-0.9375;England;England
Reformierakond;5;4;5;2;4;5;2;4;2;3;2;1;4;2;2;4;4;4;5;2;3;2;2;2;1;4;2;4;4;4;0.625;0.333333333;0.75;Estonia;Estonia
Keskerakond;4;4;4;2;2;4;4;2;4;4;4;5;1;4;5;2;2;1;1;4;4;4;2;3;2;4;2;2;4;3;-0.75;0;0.5;Estonia;Estonia
IRL;5;3;4;2;2;5;3;4;2;4;2;2;4;2;2;5;3;4;5;2;2;4;4;5;2;5;5;4;1;4;0.5;-0.5;0.5;Estonia;Estonia
Sotsiaaldemokraadid;4;4;5;2;2;5;3;3;2;4;4;4;1;4;4;3;3;2;1;4;3;4;99;2;2;4;2;1;4;1;-0.5;0.166666667;0.625;Estonia;Estonia
Rohelised;4;2;4;2;2;4;4;99;2;4;3;2;4;3;2;4;1;3;4;4;4;4;2;2;2;4;99;2;4;99;0.25;0.166666667;0.25;Estonia;Estonia
Konservatiivne;2;1;2;4;3;2;4;4;1;1;2;4;4;2;3;4;2;4;4;1;2;2;4;5;4;5;4;2;4;4;0.125;-0.833333333;-0.625;Estonia;Estonia
Kokoomus;5;4;5;2;2;5;1;3;1;2;1;2;2;2;3;2;3;2;4;5;2;3;3;4;4;3;2;4;3;4;0.333333333;0;0.833333333;Finland;Finland
SDP;5;4;4;1;2;5;2;4;1;3;2;4;4;5;1;4;4;2;3;4;3;2;4;4;2;1;1;4;2;3;-0.666666667;0.375;0.75;Finland;Finland
Perus;3;1;4;5;5;2;4;4;4;4;1;4;4;4;2;2;2;2;4;4;2;1;3;4;4;5;3;5;4;4;-0.166666667;-0.625;-0.416666667;Finland;Finland
Keskusta;4;2;4;4;3;4;4;4;1;1;1;2;2;4;2;2;2;2;2;4;2;2;3;4;2;4;2;3;3;3;0.166666667;-0.125;0;Finland;Finland
Vasem;4;2;4;3;2;4;4;4;1;99;2;5;5;5;1;5;5;5;1;2;4;4;4;4;2;1;1;3;2;1;-1;0.875;0.083333333;Finland;Finland
Vihrea;4;4;5;2;3;5;4;2;1;2;3;3;3;4;2;4;3;3;1;4;2;4;5;4;2;1;2;4;1;1;-0.25;0.75;0.5;Finland;Finland
SFP.RKP;5;4;5;2;3;5;2;3;1;3;2;2;3;3;3;2;3;2;3;4;99;4;3;4;3;2;2;4;2;3;0.166666667;0.375;0.75;Finland;Finland
Kristil;4;1;5;5;4;4;2;4;5;4;5;4;2;4;2;3;99;5;2;4;1;2;4;4;4;5;5;5;4;4;-0.2;-0.75;0.083333333;Finland;Finland
FG;4;2;2;1;1;1;5;1;5;5;5;5;5;1;5;5;5;1;5;3;5;5;5;1;1;1;2;5;5;4;-1;-0.888888889;-0.071428571;France;France
PS;5;5;2;2;1;5;6;2;6;2;5;5;5;2;5;4;5;3;3;2;3;4;6;1;1;1;6;5;3;3;-0.625;-0.5;0.666666667;France;France
EELV;5;4;5;1;2;5;5;1;4;1;5;5;5;1;5;5;5;3;4;1;3;5;5;1;1;1;1;5;5;5;-0.8125;-0.888888889;0.642857143;France;France
Modem;5;5;3;2;2;5;4;1;2;1;3;2;1;2;2;2;2;5;1;3;2;4;4;2;4;6;3;3;2;2;0.5;0.125;0.642857143;France;France
UMP;5;4;4;2;1;5;6;3;2;2;2;1;2;4;1;1;2;5;1;5;1;2;3;5;5;4;1;3;1;1;0.8125;0.444444444;0.714285714;France;France
Debout;1;1;1;5;5;1;5;5;5;5;5;3;5;2;1;4;5;3;3;2;1;3;3;4;5;2;5;1;1;2;-0.25;0.555555556;-1;France;France
FN;1;1;1;5;3;1;5;5;4;5;3;3;5;2;2;3;6;3;1;3;1;6;4;5;5;2;5;2;1;1;0;0.5625;-0.785714286;France;France
NPA;2;3;2;4;2;1;4;3;3;5;5;5;5;1;5;5;5;1;5;1;5;5;5;1;1;1;1;5;5;5;-1;-1;-0.285714286;France;France
FV;2;2;1;2;2;3;6;2;1;4;3;3;4;4;1;3;3;5;2;5;1;3;4;5;5;5;5;1;1;2;0.3125;0.666666667;0;France;France
RC;3;4;4;1;2;2;6;1;2;1;5;6;1;2;2;6;6;4;6;1;5;4;4;2;1;1;2;4;4;4;0.1;-0.666666667;0.357142857;France;France
