,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
3822,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,0.0,3.0,4.0,3.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0
3823,1.0,2.0,3.0,4.0,0.0,0.0,4.0,4.0,1.0,4.0,3.0,0.0,2.0,0.0,1.0,4.0,4.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0
3827,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
3836,1.0,1.0,3.0,3.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0
3841,2.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
3844,1.0,1.0,3.0,3.0,0.0,1.0,4.0,3.0,0.0,4.0,4.0,3.0,3.0,0.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,5.0,1.0,0.0,5.0,0.0,4.0,1.0
3848,2.0,1.0,3.0,3.0,0.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,0.0,1.0,4.0,4.0,3.0,1.0,0.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0
3855,3.0,2.0,4.0,1.0,1.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,4.0,1.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
3859,2.0,0.0,3.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0
3860,3.0,1.0,3.0,2.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0
3861,2.0,3.0,4.0,1.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
3862,0.0,2.0,3.0,3.0,0.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0
3865,1.0,1.0,3.0,3.0,0.0,1.0,3.0,2.0,1.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,3.0,3.0,2.0,0.0,3.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0
3867,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,0.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0
3869,1.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0
3872,2.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
3873,2.0,2.0,3.0,3.0,0.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
3881,2.0,2.0,3.0,3.0,0.0,2.0,0.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
3883,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0
3895,3.0,2.0,4.0,1.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,0.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0
3907,2.0,0.0,4.0,0.0,0.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,0.0,3.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0
3910,2.0,3.0,4.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,0.0,3.0,4.0,4.0,4.0,4.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,4.0
3912,1.0,1.0,2.0,3.0,0.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0
3915,1.0,1.0,4.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0
3919,2.0,1.0,3.0,3.0,0.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0
3925,2.0,0.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,0.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
3926,4.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,2.0,1.0,4.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0
3932,3.0,2.0,4.0,3.0,0.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0
3936,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
3937,4.0,2.0,2.0,3.0,0.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0
3939,3.0,1.0,4.0,4.0,0.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0
3940,2.0,1.0,4.0,3.0,0.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,0.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
