Party_ID	Ans_1	Ans_2	Ans_3	Ans_4	Ans_5	Ans_6	Ans_7	Ans_8	Ans_9	Ans_10	Ans_11	Ans_12	Ans_13	Ans_14	Ans_15	Ans_16	Ans_17	Ans_18	Ans_19	Ans_20	Ans_21	Ans_22	Ans_23	Ans_24	Ans_25	Ans_26	Ans_27	Ans_28	Ans_29	Ans_30	X	Y	Z
Alianca	5	4	5	2	2	5	2	5	2	1	2	2	1	2	2	5	2	4	2	4	4	2	3	4	3	4	4	4	5	4	0.5	0.25	0.8
CDU	2	2	5	5	1	1	4	1	5	5	5	1	5	5	5	2	5	1	4	1	1	5	2	5	3	2	1	5	2	1	-1	-0.3333333333	-0.8
BE	4	2	5	4	1	1	5	2	5	4	5	1	5	5	5	1	5	1	5	1	1	4	2	5	2	1	1	1	4	2	-0.9090909091	-0.6666666667	-0.4
PS	5	4	5	2	2	5	3	5	4	2	4	2	2	4	2	99	4	2	4	2	1	4	2	4	3	1	1	3	5	1	-0.3181818182	-0.4166666667	0.8
Livre	5	4	5	3	1	2	5	4	5	99	4	1	5	5	4	2	5	1	5	2	1	4	4	5	99	1	1	99	4	1	-0.9	-0.8	0.3
MPT	4	99	4	5	2	2	4	5	5	99	5	2	4	3	5	99	4	2	3	99	1	2	4	4	1	3	5	5	99	1	-0.7	0.25	0
PCTP	1	2	5	5	1	1	5	1	5	5	5	1	5	5	5	1	5	1	4	1	1	3	2	5	3	2	1	1	99	1	-1	-0.5	-0.9
PAN	4	3	4	4	2	2	99	4	4	5	4	2	4	4	2	99	4	4	5	1	1	4	99	5	99	1	99	99	99	1	-0.4545454545	-0.8333333333	0
