,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
10452,5.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0
10455,3.0,3.0,4.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,0.0,3.0,3.0,3.0,1.0,3.0,0.0,4.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0
10457,3.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,0.0,3.0,1.0,4.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0
10458,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,0.0,3.0,4.0,4.0,0.0,4.0,1.0,4.0,1.0,0.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
10460,2.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0
10464,4.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,4.0,3.0,1.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0,1.0
10469,3.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,0.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0
10471,3.0,3.0,4.0,3.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0
10481,2.0,1.0,3.0,4.0,0.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0
10485,2.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,0.0,4.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,3.0,3.0,4.0,1.0
10488,2.0,2.0,4.0,1.0,0.0,3.0,2.0,3.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0
10490,2.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0
10498,3.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0
10500,0.0,4.0,4.0,4.0,0.0,0.0,4.0,2.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0
10503,3.0,2.0,4.0,1.0,0.0,3.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,4.0,3.0,1.0,4.0,0.0,4.0,2.0,1.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0
10507,3.0,3.0,4.0,0.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,0.0,4.0,0.0,3.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0
10509,1.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,0.0
10510,0.0,3.0,3.0,4.0,0.0,1.0,4.0,1.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0
10515,1.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,4.0,0.0,3.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
10525,2.0,1.0,4.0,2.0,0.0,1.0,4.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,1.0,4.0,0.0,4.0,1.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0
10528,3.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,3.0,4.0,4.0,0.0,3.0,0.0,4.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
10530,4.0,3.0,4.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0
10533,3.0,4.0,4.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
10537,1.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0
10556,2.0,1.0,4.0,2.0,0.0,1.0,4.0,2.0,4.0,4.0,4.0,0.0,3.0,4.0,3.0,1.0,4.0,0.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
